--- SHEET: CTSW101 ---
Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,2026-06-26 00:00:00,,,,,Đúng yêu cầu,,,,
,,,,,"message-id
Trong tool là: ID",Đúng 1 phần,,,,
,CTSW101 – Convert an AMHS UNAWARE AMQP Message to AMHS,,,,,Sai hoặc không có,,,,
,send text,,,,,,,,,
,Thành phần AMQP,Thuộc tính,Bắt buộc,Ghi chú,,,,,,
,Header,priority,✔,CTSW101 yêu cầu dùng default value = 4. Gateway sẽ ánh xạ sang ATS-message-priority/IPM precedence.,amqp_priority: 4,priority: 4,,,ok,
,Properties,message-id,✔,Bắt buộc theo CTSW102. Thường do thư viện AMQP sinh tự động.,amhs_ipm_id: IPM.CTSW101.1783497373616,,,,ok,
,Properties,creation-time,✔,Gateway dùng để sinh Filing Time (DDhhmm).,creation_time: 1783498022494,,,,ok,
,Properties,content-type,✔,text/plain; charset=utf-8.,"content_type: text/plain; charset=""utf-8""",,,,,
,Application Properties,amhs_recipients,✔,Địa chỉ AMHS đích (AFTN 8 ký tự hoặc địa chỉ Gateway cấu hình hỗ trợ).,amhs_originator:,  amhs_recipients: ,,,Chưa có giá trị,
,Application Data,amqp-value,✔,Chuỗi văn bản (UTF-8). Không dùng data đối với CTSW101.,"amqp-value = ""THIS IS A TEST MESSAGE FROM SWIM""",,,,Chưa có,
,,,,,,,,,,
,Send binary,,,,,,,,,
,Phần của AMQP,Thuộc tính,Bắt buộc,Giá trị yêu cầu,Giá tri thực tế,,,Pass/fail,Đề xuất sửa dổi,
,Header,priority,✔,4 (default),amqp_priority: 4,,,,,
,Properties,message-id,✔,bất kỳ,amhs_ipm_id: IPM.CTSW101.1783498987504,,,"message-id
Trong tool là: ID",Properties,ID của chính AMQP Message do ứng dụng hoặc broker tạo. Đây là trường chuẩn của AMQP 1.0.
,,,,,,,,amhs_ipm_id,Application Properties,ID của điện văn AMHS (IPM Identifier). Chỉ dùng khi Gateway làm việc ở chế độ AMHS-aware hoặc khi ánh xạ từ AMHS sang AMQP.
,Properties,creation-time,✔,UTC,,,,creation_time: 1783499525472,,
,Properties,content-type,✔,application/octet-stream,,,,content_type: application/octet-stream,,
,Application Properties,amhs_recipients,✔,Địa chỉ AMHS nhận,,,, amhs_originator:,  amhs_recipients:,Body ---- Data { 00 11 22 33 44 55 66 77 88 99 AA BB CC DD EE FF }
,Body,Binary Data,✔,Dữ liệu nhị phân,Body (Data Section),Binary payload,,không có data,,
,,,,,,,,,,
,"Sau khi đưa amqp vào gw, đầu ra amhs phải tự tạo:",,,,,,,,,
,,"Điều này có nghĩa là sau khi Gateway đã tạo điện văn AMHS, người kiểm thử sẽ kiểm tra điện văn AMHS đầu ra (MTE), không phải điện văn AMQP đầu vào.",,,,,,,,
,,,,,,,,,,
,,Nói cách khác:,,,,,,,,
,,,,,,,,,,
,,AMQP,,,,,,,,
,,   │,,,,,,,,
,,   ▼,,,,,,,,
,,Gateway,,,,,,,,
,,   │,,,,,,,,
,,   ▼,,,,,,,,
,,AMHS Message,,,,,,,,
,,        │,,,,,,,,
,,        ├── PerMessageIndicators,,"alternateRecipientAllowed = true; 
disclosureOfOtherRecipients = false; 
implicitConversionProhibited = false; 
contentReturnRequested = false;",,,,,,
,,        │      alternate-recipient-allowed,,,,,,,,
,,        │      disclosure-of-other-recipients-prohibited,,,,,,,,
,,        │      implicit-conversion-allowed,,,,,,,,
,,        │      content-return-not-requested,,,,,,,,
,,,,,,,,,,
,,Đây là các giá trị mà Gateway phải tự thiết lập.,,,,,,,,


--- SHEET: CTSW102 ---
Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
CTSW102 – Reject an AMQP Message if it does not contain the Minimum Information Necessary to Transfer to AMHS (AMHS UNAWARE),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,STT,Thành phần AMQP,Vị trí,Bắt buộc,Case 1,,Case 2,,Case 3,,Case 4,,Case 5,,Case 6,
,,,,,Bắt buộc,Bài test,Bắt buộc,Bài test,Bắt buộc,Bài test,Bắt buộc,Bài test,Bắt buộc,Bài test,Bắt buộc,Bài test
,1,priority,Header,✔,,10,,,,,,,,,,
,2,message-id,Properties,✔,ID,,,,,,,,,,,
,3,creation-time,Properties,✔,,,,,,,,,,,,
,4,content-type,Properties,✔,,,,,,,,,,,,
,5,amhs_recipients,Application Properties,✔,Ko có,,,,,,,,,,,
,6,data hoặc amqp-value,Body: Text,✔,,,Text ,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,"Reject, log, ra CP",,,,,,,,,,,
,,,,,,,,,,,,,,,,
,STT,Thành phần AMQP,Vị trí,Bắt buộc,Case 1,,Case 2,,Case 3,,Case 4,,Case 5,,Case 6,
,,,,,Bắt buộc,Bài test,Bắt buộc,Bài test,Bắt buộc,Bài test,Bắt buộc,Bài test,Bắt buộc,Bài test,Bắt buộc,Bài test
,1,priority,Header,✔,,10,,,,,,,,,,
,2,message-id,Properties,✔,không có,,,,,,,,,,,
,3,creation-time,Properties,✔,,,,,,,,,,,,
,4,content-type,Properties,✔,,,,,,,,,,,,
,5,amhs_recipients,Application Properties,✔,Ko có,,,,,,,,,,,
,6,data hoặc amqp-value,Body: Bin,✔,,,,,,,,,,,,


--- SHEET: CTSW103 ---
Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,CTSW103 – Conversion to IPM According to ATSMHS Service Level Parameter,,,,,,,
,,,,,,,,
,Sub case 1 – ATSMHS Service Level = Basic (Text message),,,,,,,
,Điện văn AMQP cần có,,,,,,,
,,,,,,,,
,Properties,,,Application Properties,,,,
,Thuộc tính,Bắt buộc,,Thuộc tính,Bắt buộc,Ghi chú,,
,message-id,✔,ID,amhs_recipients,✔,Người nhận: o có,,Gateway sinh điện văn
,creation-time,✔,Khong có,amhs_ats_pri,✔,ATS Priority: o có,,
,content-type = text/plain,✔,,amhs_ats_ft,✔,Filing Time: o có,,
,,,,amhs_ats_ohi,✔,Optional Heading Information: o có,,
,,,,,,,,
,Sub case 2 – ATSMHS Service Level = Basic (Binary message),,,,,,,
,,,,,,,,
,Properties,,,Application Properties,,,,
,Thuộc tính,Bắt buộc,,Thuộc tính,Bắt buộc,Ghi chú,,Gateway
,message-id,✔,ID,amhs_recipients,✔,Người nhận: o có,,Reject message
,creation-time,✔,Khong có,amhs_ats_pri,✔,ATS Priority: o có,,Ghi log
,content-type = application/octet-stream,✔,,amhs_ats_ft,✔,Filing Time: o có,,Báo Control Position
,,,,amhs_ats_ohi,✔,Optional Heading Information: o có,,Không sinh điện văn AMHS
,,,,,,,,
,Sub case 3 – ATSMHS Service Level = Extended (Text message),,,,,,,
,,,,,,,,
,Header,,,,,,,
,priority,,,,,,,
,Properties,,,,,,,
,message-id,,,,,,,
,creation-time,,,,,,,
,content-type=text/plain,,,,,,,
,Application Properties,,,,,,,
,Thuộc tính,Bắt buộc,,Gateway phải chuyển các trường sang Extended IPM theo quy tắc của Extended Service Level.,,,,
,amhs_recipients,✔,,,,,,
,amhs_ats_pri,✔,,,,,,
,amhs_ats_ft,✔,,,,,,
,amhs_ats_ohi,✔,,,,,,
,amhs_subject,✔,,,,,,
,Body,,,,,,,
,AmqpValue(String),,,,,,,
,,,,,,,,
,Sub case 4 – Extended (Binary message),,,,,,,
,,,,,,,,
,Header,,,,,,,
,priority,,,,,,,
,Properties,,,,,,,
,message-id,,,,,,,
,creation-time,,,,,,,
,content-type=application/octet-stream,,,,,,,
,Application Properties,,,,,,,
,Thuộc tính,Bắt buộc,,Gateway phải chuyển các trường sang Extended IPM theo quy tắc của Extended Service Level.,,,,
,amhs_recipients,✔,,Chấp nhận binary body,,,,
,amhs_ats_pri,✔,,Chuyển thành IPM phù hợp với Extended Service Level (không phải FTBP; FTBP được kiểm tra riêng ở CTSW116),,,,
,amhs_ats_ft,✔,,,,,,
,amhs_ats_ohi,✔,,,,,,
,amhs_subject,✔,,,,,,
,Data(Binary),,,,,,,
,,,,,,,,
,Sub case 5 – Extended sử dụng Subject,,,,,,,
,,,,,,,,
,Header,,,,,,,
,priority,,,,Gateway phải sinh,,,
,Properties,,,,IPM.subject = TEST SUBJECT,,,
,message-id,,,,,,,
,creation-time,,,,,,,
,content-type = text/plain,,,,,,,
,amhs_subject = TEST SUBJECT,,o có,,,,,
,,,,,,,,
,Sub case 6 – Extended sử dụng Originator (nếu Gateway hỗ trợ),,,,,,,
,Header,,,,Gateway phải tạo,,,
,priority,,,,IPM.originator = VVNBYFYX,,,
,Properties,,,,Nếu Gateway không hỗ trợ cấu hình này thì bài kiểm thử tương ứng sẽ không áp dụng.,,,
,message-id,,,,,,,
,creation-time,,,,,,,
,content-type=text/plain,,,,,,,
,amhs_originator = VVNBYFYX,,o có,,,,,
,,,,,,,,
,Sub case 7 – Extended với đầy đủ các trường ATS,,,Gateway phải tạo IPM Extended đầy đủ theo đúng cấu hình Service Level,,,,
,,,,,,,,
,Header,Giá trị,,,,Thuộc tính AMQP,Basic,Extended
,priority,✔,,,,Header.priority,✔,✔
,Properties,,,,,Properties.message-id,✔,✔
,message-id,✔,,,,Properties.creation-time,✔,✔
,creation-time,✔,o có,,,Properties.content-type,✔,✔
,content-type,text/plain,,,,Application.amhs_recipients,✔,✔
,,,,,,Application.amhs_ats_pri,✔,✔
,Application Properties,,,,,Application.amhs_ats_ft,✔,✔
,amhs_recipients,✔,"bỏ dấu , ở đầu",,,Application.amhs_ats_ohi,✔,✔
,amhs_ats_pri,✔,,,,Application.amhs_subject,✘,✔
,amhs_ats_ft,✔,o có,,,Application.amhs_originator,✘,Tùy cấu hình Gateway
,amhs_ats_ohi,✔,o có,,,Body (AmqpValue),✔,✔
,amhs_subject,✔,o có,,,Body (Data/Binary),Bị từ chối,Được xử lý theo Extended (không phải FTBP)
,amhs_originator,✔ (nếu hỗ trợ),o có,,,,,
,Body,,,,,,,
,AmqpValue(String),,,,,,,


--- SHEET: CTSW104 ---
Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,CTSW104 – Conversion to IPM According to ATS-message-priority,,,,,,,,,,,,,,,
,Sub Case 1,,,,,,,,,,,,,,,
,,,,Sub Case 1.1,,Sub Case 1.2,,Sub Case 1.3,,Sub Case 1.4,,….,Sub Case 1.9,,,
,,,,Madate,Test,Madate,Test,Madate,Test,Madate,Test,….,Madate,Test,,
